date,company,program,revenue
2017-03-11,KBS2,불후의 명곡,
2017-03-29,MBC Every1,주간 아이돌,
2017-05-23,SBS MTV,더 쇼,
2017-05-25,MBC Every1,김민정의 뷰티크러쉬,
2017-05-26,KBS2,뮤직뱅크,
2017-05-26,Arirang TV,심플리케이팝,
2017-05-27,MBC,음악중심,
2017-05-28,SBS,인기가요,
2017-05-30,SBS MTV,더 쇼,
2017-06-02,KBS2,뮤직뱅크,
2017-06-02,Arirang TV,심플리케이팝,
2017-06-03,MBC,음악중심,
2017-06-04,SBS,인기가요,
2017-06-09,KBS2,뮤직뱅크,
2017-06-09,Arirang TV,심플리케이팝,
2017-06-10,MBC,음악중심,
2017-06-11,SBS,인기가요,
2017-06-13,SBS MTV,더 쇼,
2017-06-16,KBS2,뮤직뱅크,
2017-06-16,Arirang TV,심플리케이팝,
2017-07-06,Mnet,KCON 2017 NYxM COUNTDOWN,
2017-07-20,Mnet,엠카운트다운,
2017-07-21,KBS2,뮤직뱅크,
2017-07-21,Arirang TV,심플리케이팝,
2017-07-22,MBC,음악중심,
2017-07-23,SBS,인기가요,
2017-07-25,SBS MTV,더 쇼,
2017-07-26,MBC M,쇼 챔피언,
2017-07-28,KBS2,뮤직뱅크,
2017-07-28,Arirang TV,심플리케이팝,
2017-07-29,MBC,음악중심,
2017-07-30,SBS,인기가요,
2017-08-01,SBS MTV,더 쇼,
2017-08-02,MBC M,쇼 챔피언,
2017-08-04,Arirang TV,심플리케이팝,
2017-08-11,Arirang TV,심플리케이팝,
2017-08-16,MBC M,쇼 챔피언,
2017-08-19,MBC,음악중심,
2017-08-20,SBS,인기가요,
2017-08-22,SBS MTV,더 쇼,
2017-08-23,MBC M,쇼 챔피언,
2017-08-29,SBS MTV,더 쇼,
2017-09-02,MBC,음악중심,
2017-09-03,SBS,인기가요,
2017-10-15,SBS,2017 코리아뮤직페스티벌,
2017-10-22,SBS,판타스틱 듀오 시즌2,
2017-11-12,JTBC,믹스나인,
2018-02-15,MBC,2018 설특집 아이돌스타 육상 볼링 양궁 리듬체조 에어로빅 선수권대회,
2018-11-23,OGN,게임돌림픽,
2019-01-09,SBS MTV,더 쇼,
2019-01-10,Mnet,엠카운트다운,
2019-01-11,KBS2,뮤직뱅크,
2019-01-12,MBC,음악중심,
2019-01-13,SBS,인기가요,
2019-01-16,SBS MTV,더 쇼,
2019-01-17,Mnet,엠카운트다운,
2019-01-18,KBS2,뮤직뱅크,
2019-01-18,Arirang TV,심플리케이팝,
2019-01-19,MBC,음악중심,
2019-01-20,SBS,인기가요,
2019-01-24,Mnet,엠카운트다운,
2019-01-25,KBS2,뮤직뱅크,
2019-01-25,Arirang TV,심플리케이팝,
2019-01-26,MBC,음악중심,
2019-01-27,SBS,인기가요,
2019-01-30,SBS MTV,더 쇼,
2019-01-31,Mnet,엠카운트다운,
2019-02-01,KBS2,뮤직뱅크,
2019-02-01,Arirang TV,심플리케이팝,
2019-02-03,SBS,인기가요,
2019-02-08,Arirang TV,심플리케이팝,
2019-07-18,Mnet,엠카운트다운,
2019-07-19,KBS2,뮤직뱅크,
2019-07-20,MBC,음악중심,
2019-07-20,MBC,음악중심,
2019-07-21,SBS,인기가요,
2019-07-23,Arirang TV,After School Club,
2019-07-26,KBS2,뮤직뱅크,
2019-07-26,Arirang TV,심플리케이팝,
2019-07-30,SBS MTV,더 쇼,
2019-08-02,KBS2,뮤직뱅크,
2019-08-02,Arirang TV,심플리케이팝,
2019-08-02,라이프타임,아이돌 런치박스,
2019-08-04,SBS,인기가요,
2019-08-06,SBS MTV,더 쇼,
2019-08-07,MBC M,쇼 챔피언,
2019-08-08,Mnet,엠카운트다운,
2019-08-09,KBS2,뮤직뱅크,
2019-08-09,Arirang TV,심플리케이팝,
2019-08-10,MBC,음악중심,
2019-08-11,SBS,인기가요,
2019-08-16,Arirang TV,심플리케이팝,
2019-10-01,KBS1,천안흥타령춤축제 축하음악회,
2019-11-10,tvN,플레이어,
2019-11-24,SBS Plus,좋은 친구들,
2020-02-04,KBS Joy,연애의 참견 시즌3,
2020-09-17,Mnet,엠카운트다운,
2020-09-19,Arirang TV,심플리케이팝,
2020-09-20,SBS,인기가요,
2020-09-22,SBS MTV,더 쇼,
2020-09-23,MBC M,쇼 챔피언,
2020-09-24,Mnet,엠카운트다운,
2020-09-26,Arirang TV,심플리케이팝,
2020-09-26,MBC,음악중심,
2020-10-06,SBS MTV,더 쇼,
2020-11-15,MBC,복면가왕,
2021-01-12,KBS1,온드림스쿨,
